,idx,content,true_label,pred_label,label
33,33,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.  The Tamils ' bhakti movement froz e the previously warm ritual of Hinduism.,2,the two sentences are a contradiction.,contradiction
34,34,"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.  The islands are part of Frace now insead of just cplonies.",0,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
35,35,"What's truly striking, though, is that Jobs has never really let this idea go.  Jobs nveer held onto an idea for long.",2,the two sentences are a contradiction.,contradiction
36,36,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.  Missouri was ha ppy to continue it ' s planning efforts.",1,the two sentences are entailment. the second sentence is a restatement of the information in the first sentence.,entailment
37,37,"Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head.   Poirot did not lo ok at me.",2,the two sentences are a contradiction.,contradiction
38,38,This site includes a list of all award winners and a searchable database of Government Executive articles.  The Government Executive articles housed on the website are bot able to be searched.,2,the two sentences are a contradiction.,contradiction
39,39,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.  N ot many couples with kids can save up for retirement.",0,entailment.,entailment
40,40,yeah i know and i did that all through college and it worked too  I did that all through college but it bever worked,2,the two sentences are a contradiction.,contradiction
41,41,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  L ess than a million people celebrated mass during Pope John Paul II ' s visit in 1979.",2,"neutral. the first sentence states that more than one million people gathered to celebrate mass during pope john paul ii's visit in 1979, while the second sentence simply says that less than a million people celebrated mass during the same visit without specifying a specific number.",neutral
42,42," He was of two minds , one rlveeed in the peac e of this village. He loved how peaceful the village was.",0,"these sentences are entailment. the first sentence indicates that the person has conflicting thoughts or feelings about something, while the second sentence specifically states that he loves the peacefulness of the village. therefore, the second sentence is consistent with one of the two minds described in the first sentence.",entailment
43,43," Similarly , OIM revised the electronic Gran t Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users. Changes were made to the Grant Renewal Application to provide extra information to the LSC.",0,entailment.,entailment
44,44,so i have to find a way to supplement that  I nee d a wag to add something extra.,0,entailment.,entailment
45,45, Yeah i know and i did that all through college and it wkrked too I did that all through college but it never worked ,2,contradiction.,contradiction
46,46,"and uh as a matter of fact he's a draft dodger  They doged the draf t , I ' ll have you know.",0,entailment.,entailment
47,47, I ' m not sure what the overight lo w was I don't know how cold it got last night.,0,the two sentences are neutral.,neutral
48,48,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Pope John Paul II alo visited in 1983.",1,neutral,neutral
49,49,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.  Joan of Arc sacrificed her life at Rou en , which became an enduring symbol of oppisotion to tyranny.",0,"entailment. the second sentence provides further information about the martyrdom of joan of arc, which is mentioned in the first sentence.",entailment
50,50," What ' s truly striking , though , is that Jobs has never really le t this idea go. Jobs never held onto an idea for long.",2,contradiction.,contradiction
51,51,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be  We have pelnty of space in the landfill.,2,contradiction,contradiction
52,52,"In a further role reversal, Gingrich may have positioned himself to fill it.  Gingrich slouhd not be in power.",1,neutral.,neutral
53,53,From the corner of his eye he saw Jamus look over the broken mare.  Jamus looed over the mare.,0,"entailment. the second sentence is a simplified version of the first sentence with the subject ""he"" removed.",entailment
54,54," Britain ' s best - selling tabloid , the S un , announced as a front - page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London. There is a British publication called the Sun.",0,neutral.,neutral
55,55," Taking an ecumenical tack , nation officials in Chjcago recently issued edicts commanding preachers to back off their anti - Semitic rhetoric. Nation officials in Chicago are involved in religious issues.",0,"contradiction. the first sentence mentions the chicago officials issuing edicts related to religious speech, while the second sentence suggests that chicago officials are not involved in religious issues.",contradiction
56,56," Oh , what a f ool I feel! I am beyond proud.",2,neutral.,neutral
57,57,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities. She has choose to live a distorted life.",2,contradiction.,contradiction
58,58,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wat to be sure their employee are safe .,1,"neutral. the two sentences are not logically related and do not express an entailment, contradiction, or agreement.",neutral
59,59,Then he fled . He ran like an athlete .,1,"entailment. the second sentence provides additional information about how the subject fled, specifying that he ran like an athlete.",entailment
60,60,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town. Go lowered to one of the gates, all of which will lead you into the cathedral.",2,"contradiction. the first sentence says that going up leads to the cathedral and fortress, while the second sentence says that going down to the gates will lead to the cathedral.",contradiction
61,61,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was happg to continue it ' s planning efforts .",1,"entailment. the second sentence confirms that missouri was willing to continue its planning efforts, which is consistent with the first sentence that states missouri was asked to do so.",entailment
62,62,Boats in daily use lie within feet of the fashionable bars and restaurants . Bars and restaurants are attractive places .,1,entailment.,entailment
63,63,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird thing is it Iraq was never hesitant in that place until immediately.,2,the two sentences appear to be in contradiction.,contradiction
64,64,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement aant to be sure their employee are safe .,1,neutral. the two sentences are not directly related and do not imply any relationship between each other.,neutral
65,65,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wajt to be sure their employee are safe .,1,neutral. the two sentences do not have an explicit logical relationship with each other.,neutral
66,66,"But you have to have money to save it , and not many couples with young children have the luxury of tucking away $ 2 , 000 apiece annually for their Golden Years . None manh couples with kids can save up for retirement .",0,entailment. the second sentence is a more specific and extreme version of the first sentence.,entailment
67,67,Boats in daily use lie within miles of the picturesque bars and restaurants . Bars and restaurants are interesting places .,1,neutral.,neutral
68,68,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wznt to be sure their employee are safe .,1,the two sentences are neutral as they do not relate to each other.,neutral
69,69,Then he ran . He wandered like an athlete .,1,neutral.,neutral
70,70,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism . The Tamils ' bhakti movement frzoe the previously warm religion of Hinduism .,2,contradiction.,contradiction
71,71,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was hapy to continue it ' s planning efforts .",1,entailment.,entailment
72,72,"Similarly , OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users . Changes were made to the Grant Renewal Application to provide extra education to the LSC .",0,neutral,neutral
73,73,"Oh , what a cow I look ! I am beyond proud .",2,contradiction.,contradiction
74,74,"All of the islands are now officially and proudly part of France , not colonies as they were for some three centuries . The colonies are part of France now instead of just islands .",0,contradiction.,contradiction
75,75,you sound like this girl that i talked to about books and we got into movies one night I found out about so serial movie I had never heard of .,1,these two sentences are neutral.,neutral
76,76,"The tourist industry continued to expand , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not strictly big in Spain .",2,contradiction.,contradiction
77,77,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird thing is that Iraq was never like in that reason until now .,2,contradiction.,contradiction
78,78,"The most important directions are simply up and up gives eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go downwards to one of the gates , all of which will lead you into the cathedral .",2,"contradiction. the first sentence says that going up leads to the cathedral and fortress, while the second sentence says to go downwards to one of the gates to reach the cathedral.",contradiction
79,79,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was agreed to continue it's planning efforts .",1,entailment. the second sentence affirms and agrees with the content of the first sentence.,entailment
80,80,"All of the islands are now officially and proudly part of France , not colonies as they were for some three centuries . The colonies are part of France now instead of just colonies .",0,"the first sentence states that the islands are now officially part of france and not colonies, while the second sentence contradicts it by saying that the islands are still colonies. therefore, the two sentences are in contradiction.",contradiction
81,81,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go descent to one of the gates , all of which should lead you into the cathedral .",2,"the first sentence describes going ""up"" to reach the cathedral, while the second sentence suggests going ""down"" to reach the gates, and then mentions the cathedral as an afterthought. so, the two sentences are not in agreement and can be considered a contradiction.",contradiction
82,82,"The tourist industry continued to expand , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not strictly huge in Spain .",2,neutral.,neutral
83,83,"'Publicity . ' Lincoln removed his great helmet , making a small show of dusting it off . Lincoln took his hat off .",0,neutral. the two sentences are independent and don't necessarily have any logical relationship to each other.,neutral
84,84,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading organizations buy to be sure their employees are safe .,1,neutral.,neutral
85,85,"While parents may pick up this gay semaphore, kids aren't likely to. kids with gay signals .",1,neutral,neutral
86,86,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years. mr. gross nation was this year .,1,neutral. the two sentences do not have any apparent relationship to each other.,neutral
87,87,no one he did n't see such things as silent films from some of the silent films . He had recently seen pictures depicting those things.,2,neutral.,neutral
88,88,"mr. rose , and mr. rose . Tuppence floated into the air.",1,neutral. the two sentences don't seem to be related to each other or convey any clear meaning.,neutral
89,89,now all of the islands they 're officially now and proudly part of france . The islands are part of France now instead of just colonies.,0,entailment.,entailment
90,90,the celts arrived in the wake of the roman retreat at the end of the fourth century . At the end of the fourth century was when baked goods flourished.,1,neutral.,neutral
91,91,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it. maybe mr. lehrer has no credibility .",2,contradiction.,contradiction
92,92,it would n't be me . I cannot wait for it to happen.,1,these two sentences are neutral to each other.,neutral
93,93,Boats in daily use lie within feet of the fashionable bars and restaurants. keep bars and restaurants .,1,"i'm sorry, but the second sentence is incomplete and unclear. can you please rephrase or provide additional context?",neutral
94,94,i know these guys were actually on the road from two thousand miles from home when they had to finish their homework . These men filed their midterm exams from home. ,2,contradiction,contradiction
95,95,you sound like this girl that i talked to about books and we got into convoy one night I found out about so many movies I had never heard of .,1,the two sentences are neutral.,neutral
96,96,"The most important retailers are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of four gates through the wall to the new city. Go downwards to one of the gates, all of which will lead you into the cathedral.",2,"contradiction. the first sentence says ""up leads eventually to the cathedral"" while the second sentence says ""go downwards to one of the gates, all of which will lead you into the cathedral.""",contradiction
97,97,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading organizations want to be sure their employees not safe .,1,contradiction.,contradiction
98,98,"well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that ' s one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that ' s another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this All invasions of privacy should be severely limp , because it will teach the criminals that it is not worth doing .",1,"the two sentences are neutral, as they express two separate opinions on the topic of privacy, without any explicit relationship or contradiction between them.",neutral
99,99,"In Hong Kong you nobody have a plate , swift took a whole dinner service , hand - painted to your own design . It ' s impossible to have a plate hand - painted to your own design in Hong Kong .",2,contradiction.,contradiction
100,100,Then he left . He ran like an athlete .,1,neutral.,neutral
101,101,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities. She had choose to live a hollow life.",2,contradiction.,contradiction
102,102,"What's truly striking, though, is that Jobs had never really let this idea go. Jobs never held onto an idea for long.",2,contradiction.,contradiction
103,103,"In a further role reversal , Gingrich may have positioned himself to fill it . Gingrich should not either in power .",1,the two sentences are contradictory.,contradiction
104,104,substitute my my yeah my kid'll do uh four or five hours this week for me no problem I totally can't make the time because of my job.,1,"i'm sorry, but the two sentences do not form a coherent pair, and it is not possible to determine their relationship to each other.",neutral
105,105,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century. At the end of the fourth century was when baked goods flourished and true is true .,1,"the first sentence is a statement about the arrival of the celts in the fourth century, and the second sentence is a statement about the flourishing of baked goods at the end of the fourth century. there is no direct relationship between the two sentences, so they are neutral.",neutral
106,106,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chairand true is true and true is true and true is true and true is true and true is true . I was dreadfully worried about many things. ",2,neutral.,neutral
107,107,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know and false is not true  I cannot wait for it to happen.,1,entailment,entailment
108,108,'Publicity and false is not true . Lincoln took his hat off.,0,neutral.,neutral
109,109,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair and false is not true . I was dreadfully worried about many things. ",2,"entailment. the first sentence states that the sight of the ulster on the chair relieved the speaker's worry, while the second sentence contradicts the idea that anything was false.",entailment
110,110,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured and false is not true . Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction.,contradiction
111,111,"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric. Nation officials in Chicago are involved in religious issues and true is true .",0,neutral.,neutral
112,112,The entire city was surrounded by open countryside with a scattering of small villages. The whole countryside is scattered with small villages and false is not true . ,0,contradiction.,contradiction
113,113,"and uh as a matter of fact he's a draft dodger https://t.co/e0ewqt They dodged the draft, I'll have you know.",0,entailment.,entailment
114,114,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive. https://t.co/HtX3g0 Democracies probably won't go to war unless someone attacks them on their soil",0,entailment,entailment
115,115,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured. https://t.co/lTAmYC Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction,contradiction
116,116,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century. At the end of the fourth century was when baked goods flourished. @xtrTM2,1,neutral. the two sentences are not related in terms of entailment or contradiction.,neutral
117,117,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years. @daily  Not many couples with kids can save up for retirement.",0,entailment.,entailment
118,118,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair. https://t.co/yIMvEi I was dreadfully worried about many things. ",2,entailment.,entailment
119,119,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know I cannot wait for it to happen. @j9eslS,1,neutral.,neutral
120,120,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured. @9x2bNO Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction,contradiction
