,Unnamed: 0,idx,content,true_label,pred_label,label,pred_id
72,72,72,it does support win 81 and cable broadbank where rj 45 is reqd for both wanlanthe delivery was quick within 3 days and the packaging was in good condition,positive,neutral,neutral,neutral
75,75,75,i am loving this art kit ive posted a tour and demo of doms art strokes kit on youtube you can search for it on youtube my channel name is same as my name,positive,neutral,neutral,neutral
80,80,80,it has one rechargeable battery while rock crawlers that are more than rs 1200 will have set of 4 batteries anyway its good as it is cheaper than 4 battery one,positive,neutral,neutral,neutral
83,83,83,in sanskrit adi from the earliest timesanth end antim endingadiyogi an ancient yogibest idol for at my house i like this much perfect shape cresent set on top,positive,neutral,neutral,neutral
89,89,89,both tweeters working perfectly attached it to 21 speakers the supplied plastic holders are not fitting properly attached it by using supplied adhesive strip,positive,neutral.,neutral,neutral
95,95,95,watch is very nice and you can purchase it but the gift which is look like as a smart watch is not a smart watch it is only a watch which tell only time,positive,neutral,neutral,neutral
96,96,96,ordered green colour bag but received red colour bag please accept the return and send the correct green colour fashion deck h nonelectric 2 l hot water bag,positive,neutral.,neutral,neutral
113,113,113,installation went lateflipkart customer care responded fast now everything after installation working good will again share the review after daily usage,positive,neutral,neutral,neutral
123,123,123,the cycle is very but it best to take yellow colour the tires are nice there is no horn better to buy this shivexim led light horn led spot light black,positive,neutral,neutral,neutral
125,125,125,i am giving this product three star because all over it is a good product but in the kit when ever i ordered it something of the kit would be of bad quality,negative,neutral,neutral,neutral
128,128,128,its a good product however a little bit more no of prints per cartridge would be good to see right now i am able to print around 450 pages with one cartridge,positive,neutral,neutral,neutral
129,129,129,pretty good keyboard 20 lighting modes capable of increasing and decreasing the speeds as well as brightnessthough i didnt like the font used for lettering,positive,neutral,neutral,neutral
131,131,131,the product is to good bicycling experience is awesomegear shifter shimano nice qualitybrakes are also goodbur there is a problem handle cavity is fluctuating,positive,neutral,neutral,neutral
133,133,133,i will clear your doubtsgo for itbest suitable for 6 months to 2 years kidsvery premium qualitydont go for any negative commentsreviewslooks exactly as image,negative,positive,positive,positive
136,136,136,quick delivery and on time installation ordered on saturday received on monday installed on tuesday good and trendy chimney review after using it for 10 days,positive,neutral,neutral,neutral
139,139,139,nice product but should have been thick then would have been more better during day time doesnt prevent heat but yes still good product for better design,positive,neutral,neutral,neutral
140,140,140,nice product but should have been thick then would have been more better during day time doesnt prevent heat but yes still good product for better design,positive,neutral,neutral,neutral
144,144,144,nice fast delivery the product looks fine too 1 star deducted coz the demo wasnt upto the mark the installation guy looked unprofessional in a rush to go home,positive,neutral,neutral,neutral
146,146,146,the seller delivered a returned product which was not new however flipkart arranged for a refund the product was bought from a local store and works fine,positive,neutral,neutral,neutral
148,148,148,1 grating blade is very coarse neither suitable for halwa nor for paratha stuffing 2 instead of bladeattachment with plastic base full blades could be given,negative,neutral,neutral,neutral
156,156,156,just ok product in this price rangno aspect good sound n bass n more thing saler not giving wire n scru only speaker set come to u this is not good from saler,positive,negative,negative,negative
159,159,159,the machine is not working after 30 days of buying we have used it for 10 days maximum dont know whats wrong i will not buy anything from kent in future,positive,negative,negative,negative
160,160,160,impressive product at this price i order for this company but flipkart delivery me flipkart smart buy productoverall i was satisfied with this shopping,positive,neutral.,neutral,neutral
163,163,163,it is good though very hard stain does not go absence of resume operation whenever power breaks in between is a problem overall a good product worth investing,positive,neutral,neutral,neutral
174,174,174,better than asus k1 keyboard ant esports mk 3200 though looks and feel gud not reliable as logitech i guess get it for 3k at sale it is worth at that price,positive,neutral,neutral,neutral
180,180,180,washing is good product quality is not good thin side sheet metal delicate top lid no proper detergent adding system for wash not happy with the product,positive,negative,negative,negative
184,184,184,the screen is amazing you cant compare with another laptop but battery is not good as per my usage only i have got battery issue and everything is good,positive,neutral.,neutral,neutral
185,185,185,good pyq book for neet but the pages were less as there mention 1004 pages but in which got there is only 448 pages total in pcb flipkart look into this matter,positive,neutral,neutral,neutral
193,193,193,the material of the product is fantastic price of the product is little high compared to local shops but all in all a very good product design is not so good,positive,neutral,neutral,neutral
194,194,194,i have bought just because of having many card slots but this is very large in size this is very tightly stitch you cant put any thing more than its capacity,neutral,negative,negative,negative
204,204,204,working fine good but received in messy box and there is bent on inverter at corner think mistake of courier facility whatever but working fine no issue,negative,neutral,neutral,neutral
206,206,206,product is good not giving 5 star as because installation team dont have basic knowledge of equipment and doesnt bring basic tools required for installation,positive,negative,negative,negative
221,221,221,battery backup excellent charging speed excellent sound quality excellent build quality very goodaudio of video latency fair fair good very good excellent,positive,neutral.,neutral,neutral
223,223,223,not working even having sun light not rotatingstarting trouble we need to give moment to rotate then it will start slowlyplease dont buy not worth it use less,positive,negative,negative,negative
226,226,226,decent product quality is good chopping is really fast and easy one has to be careful with sharp blades kneading of dough is also ok overall satisfactory,positive,neutral,neutral,neutral
233,233,233,nice good for and most better for use it has great motor and nice speed and colour is also good but red colour is most better i think it also have red colour,positive,neutral,neutral,neutral
245,245,245,bought it for my babyshould take care of fallnever leave the baby alone as the front stand will get detached from the chair easilyoverall a good product,positive,neutral,neutral,neutral
255,255,255,nice but heat upper side alot and the installation man is illiterate person he dont no anything about this product only he connected the switch thts it,positive,neutral,neutral,neutral
260,260,260,just okay chinese product not much longer life but if being sold in discount buy and use for some time dont have very high expectations just average product,negative,neutral,neutral,neutral
263,263,263,waste of money please dnt buy from sarika enterprises i ordered 2 the 1st one i received was a good quality the second i received quality was very very poor,positive,negative,negative,negative
268,268,268,product size is too much smaller than the shown product they have mentioned that the height of the product is 190 cm but it actual height is less than 130 cm,neutral,negative,negative,negative
270,270,270,not fully noise reduction you can hear outside sounds but still it can be useful for some purpose when you take it out from your ears its hurt a little,negative,neutral,neutral,neutral
276,276,276,product quality is as like as price i would not say excellent quality but its good ok type quality could have been little better to appeal more customers,positive,neutral,neutral,neutral
287,287,287,built quality super picture quality superbut sound quality bad sound full noise not perfect not connected wifi with password without password wifi connected,positive,negative,negative,negative
292,292,292,very good product i will suggest to buy this item if someone is showing interest in this please reduce delivery timeas you are taking a long time to deliver,positive,neutral,neutral,neutral
294,294,294,good cycle by urban terrain but not a value for money product it dont has the back seat the seat is very adjustable and it is very good product after all,positive,neutral,neutral,neutral
304,304,304,belt looks ok but artificial leather genuine leather mens belt is available in this price but womens genuine leather belt is not available in this range,positive,neutral,neutral,neutral
311,311,311,display its just like lcd tv and image can not zoomif you want to zoom some content imgso not possible please dont buy if you want to zoom any content image,neutral,negative.,negative,negative
317,317,317,plates size is not upto mark bowl is very very small good for diet but overall all you can bought itwhy oven used freezer safe and finisher is good thanks,positive,neutral,neutral,neutral
320,320,320,its very useful for work from home and mini dining too its better than table mateplease go with this in under section if we provide clip its very excellent,positive,neutral,neutral,neutral
325,325,325,everything is working fine for memultimedia experience is absolutely great and the best part is its speakers killeridk whether otg cable is supported or not,positive,neutral,neutral,neutral
327,327,327,i would have loved it if it had dolby output which is present for every other rivals sound output could have been improved otherwise an excellent product,positive,neutral,neutral,neutral
328,328,328,value for money all middle class familyperformance awesomedesign color also goodguarantee buy for blind eyesnot realme its reallife product of home appliance,negative,positive,positive,positive
329,329,329,according to its price its ok if you looking for strong bookself you can skip it but if you looking for a good looking self in less price you can buy it,positive,neutral,neutral,neutral
330,330,330,according to its price its ok if you looking for strong bookself you can skip it but if you looking for a good looking self in less price you can buy it,positive,neutral,neutral,neutral
